id,slug,name
1,beauty,Beauty
2,fragrances,Fragrances
3,furniture,Furniture
4,groceries,Groceries
5,home-decoration,Home Decoration
6,kitchen-accessories,Kitchen Accessories
7,laptops,Laptops
8,mens-shirts,Mens Shirts
9,mens-shoes,Mens Shoes
10,mens-watches,Mens Watches
11,mobile-accessories,Mobile Accessories
12,motorcycle,Motorcycle
13,skin-care,Skin Care
14,smartphones,Smartphones
15,sports-accessories,Sports Accessories
16,sunglasses,Sunglasses
17,tablets,Tablets
18,tops,Tops
19,vehicle,Vehicle
20,womens-bags,Womens Bags
21,womens-dresses,Womens Dresses
22,womens-jewellery,Womens Jewellery
23,womens-shoes,Womens Shoes
24,womens-watches,Womens Watches
