code,name,region,population
AR,Argentina,Americas,46735004
AU,Australia,Oceania,27536874
BO,Bolivia,Americas,11365333
BR,Brazil,Americas,213421037
CA,Canada,Americas,41651653
CL,Chile,Americas,20206953
CO,Colombia,Americas,53057212
DE,Germany,Europe,83491249
ES,Spain,Europe,49315949
FR,France,Europe,66351959
GB,United Kingdom,Europe,69281437
IN,India,Asia,1417492000
IT,Italy,Europe,58927633
JP,Japan,Asia,123210000
KR,South Korea,Asia,51159889
MX,Mexico,Americas,130575786
NL,Netherlands,Europe,18100436
PE,Peru,Americas,34350244
PT,Portugal,Europe,10749635
PY,Paraguay,Americas,6109644
SG,Singapore,Asia,6110200
US,United States,Americas,340110988
UY,Uruguay,Americas,3499451
ZA,South Africa,Africa,63100945
